"{""ObjectName"":""ServicePermissionCustomAPI"",""Version"":""1.0"",""TimeZone"":""GMT"",""Pattern"":""""}"
id,name,permission,url,method,createdBy,createdDate,lastModifiedBy,lastModifiedDate,systemModifiedDate,deletedDate,isDeleted,owner,installedPackage,custom,protectMode,visibility,belongTo
string,string,string,string,string,string,date,string,date,date,date,bool,string,string,bool,numeric,numeric,string
00350000015ArBCAOO48,NULL,CS,/service/NPNM__equipment_fix_management/1.0.1/equipmentSelectListQuery,GET,10gd00000150QfGpNugy,2023-07-24 08:14:01,10gd00000150QfGpNugy,2023-07-24 08:14:01,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
00350000015ArC7WDSUK,NULL,MS,/service/NPNM__equipment_fix_management/1.0.1/judgeNextStatus,POST,10gd00000150QfGpNugy,2023-07-24 08:14:14,10gd00000150QfGpNugy,2023-07-24 08:14:14,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
00350000015ArDHmpegi,NULL,MS,/service/NPNM__equipment_fix_management/1.0.1/modifyOrderStatus,POST,10gd00000150QfGpNugy,2023-07-24 08:14:30,10gd00000150QfGpNugy,2023-07-24 08:14:30,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
00350000015ArEGv7OYC,NULL,CS,/service/NPNM__equipment_fix_management/1.0.1/queryWorkOrder,POST,10gd00000150QfGpNugy,2023-07-24 08:14:43,10gd00000150QfGpNugy,2023-07-24 08:14:43,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
00350000015ArEGxfmim,NULL,MS,/service/NPNM__equipment_fix_management/1.0.1/queryWorkOrder,POST,10gd00000150QfGpNugy,2023-07-24 08:14:43,10gd00000150QfGpNugy,2023-07-24 08:14:43,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
00350000015ArEGzwZlI,NULL,DS,/service/NPNM__equipment_fix_management/1.0.1/queryWorkOrder,POST,10gd00000150QfGpNugy,2023-07-24 08:14:43,10gd00000150QfGpNugy,2023-07-24 08:14:43,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
00350000015ArFi6ZQMy,NULL,DS,/service/NPNM__equipment_fix_management/1.0.1/queryWorker,GET,10gd00000150QfGpNugy,2023-07-24 08:15:02,10gd00000150QfGpNugy,2023-07-24 08:15:02,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
00350000015ArXYfVDqS,NULL,CS,/service/NPNM__equipment_fix_management/1.0.1/queryEquipmentDetail,GET,10gd00000150QfGpNugy,2023-07-24 08:19:04,10gd00000150QfGpNugy,2023-07-24 08:19:04,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
00350000015ArYXiOaEi,NULL,CS,/service/NPNM__equipment_fix_management/1.0.1/deleteEquipment,DELETE,10gd00000150QfGpNugy,2023-07-24 08:19:17,10gd00000150QfGpNugy,2023-07-24 08:19:17,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
00350000015ArZyl331U,NULL,CS,/service/NPNM__equipment_fix_management/1.0.1/queryEquipments,POST,10gd00000150QfGpNugy,2023-07-24 08:19:37,10gd00000150QfGpNugy,2023-07-24 08:19:37,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
00350000015Ars1STSK0,NULL,DS,/service/NPNM__equipment_fix_management/1.0.1/dispatchWorkOrder,POST,10gd00000150QfGpNugy,2023-07-24 08:23:41,10gd00000150QfGpNugy,2023-07-24 08:23:41,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
00350000015CRjV1WC3c,NULL,CS,/service/NPNM__equipment_fix_management/1.0.1/editEquipment,POST,10gd00000150QfGpNugy,2023-07-25 07:13:08,10gd00000150QfGpNugy,2023-07-25 07:13:08,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
00350000015E6l8mOq4u,NULL,CS,/service/NPNM__equipment_fix_management/1.0.1/createWorkOrder,POST,10gd00000150QfGpNugy,2023-07-26 07:14:51,10gd00000150QfGpNugy,2023-07-26 07:14:51,NULL,NULL,false,10gd00000150QfGpNugy,NULL,true,0,0,NULL
